Part;Value;Device;Package;Description;BOM;DNP;PARTNO
R51;470R;CPL-RES-0603-470R-0.1W;R0603;"Resistor: 470 Ohm, 0.1W, 1%;";;;
RJ1;RJ-45;CPL-CON-MOD-RJ45;CON-RJ45;"Connector: Modular Jack (RJ-45);";;;
S2;SWS001;SWS001;SMS-001;SMD Dip Switch 1 pol.;;;
S3;147873-2;CPL-SW-MOM-0603;603;"Switch: Push-button, Mom.;";;;
S4;147873-2;CPL-SW-MOM-0603;603;"Switch: Push-button, Mom.;";;;
TP2;+24V;CONN-TESTPOINT;CON-TESTPOINT;;;T;
TP3;GND;CONN-TESTPOINT;CON-TESTPOINT;;;T;
TP4;+5V;CONN-TESTPOINT;CON-TESTPOINT;;;T;
TP5;+3.3V;CONN-TESTPOINT;CON-TESTPOINT;;;T;
U$25;TIN-WHISKERSTSTOP;TIN-WHISKERSTSTOP;TIN-WHISKERS-TSTOP;;;;
U1;LPC1768;LPC1768LQFP-100;LQFP-100;Microprocessor: ARM Cortex-M3;;;
U2;SP3485;SP3485;SOICN-8;"Transceiver: RS-485 Chip;";;;
U3;CPL-ETH-PHY-LAN8720A;CPL-ETH-PHY-LAN8720A;QFN-24;"Physical Ethernet Chip;";;;
U4;74LVC1G04;CPL-INV-SOT25-5.5V-3.3V;SOT-25;"Single Inverter;";;;
U5;TC1015-3.3VCT713;CPL-REG-LIN-3.3V-0.1A;SOT-23-5;"Voltage Regulator: Linear, Vmax=6, Vout=3.3V, Io=0.1mA;";;;
U6;SI-8050JD;CPL-REG-SWI-5V-1.5A;TO263-5;"Voltage Regulator: 5V, 1.5A, Switching;";;;
U7;TMC2130-LA;CPL-MDR-2PHSTEPPER;QFN36-(5X6);Stepper Driver (Trinamic TMC2130-LA);;;
U8;TMC2130-LA;CPL-MDR-2PHSTEPPER;QFN36-(5X6);Stepper Driver (Trinamic TMC2130-LA);;;
U9;TMC2130-LA;CPL-MDR-2PHSTEPPER;QFN36-(5X6);Stepper Driver (Trinamic TMC2130-LA);;;
